Date,Open,High,Low,Close,Adj Close,Volume
2020-06-26,2179.949951,2179.949951,2138.100098,2154.199951,2145.028076,3176048
2020-06-29,2151.350098,2195.899902,2140.000000,2182.949951,2173.655762,3295039
2020-06-30,2193.800049,2199.949951,2170.000000,2180.000000,2170.718506,2373109
2020-07-01,2183.000000,2191.800049,2160.100098,2170.399902,2161.159180,1532931
2020-07-02,2167.750000,2177.649902,2145.000000,2151.750000,2142.588623,2588838
2020-07-03,2165.500000,2188.000000,2156.350098,2173.699951,2164.445068,1946252
2020-07-06,2180.000000,2180.000000,2153.000000,2161.600098,2152.396729,2375516
2020-07-07,2175.500000,2175.500000,2151.649902,2154.149902,2144.978271,2014667
2020-07-08,2153.600098,2194.000000,2125.000000,2186.050049,2176.742676,3349938
2020-07-09,2183.000000,2219.949951,2171.050049,2175.850098,2166.586182,3039571
2020-07-10,2170.000000,2232.000000,2167.449951,2223.800049,2214.332031,3179516
2020-07-13,2239.000000,2275.000000,2235.000000,2265.250000,2255.605469,4556662
2020-07-14,2264.800049,2269.949951,2226.600098,2234.750000,2225.235352,2403256
2020-07-15,2237.250000,2291.000000,2235.050049,2275.149902,2265.463135,2474512
2020-07-16,2275.250000,2291.300049,2238.000000,2287.850098,2278.109375,2495150
2020-07-17,2285.000000,2340.000000,2281.000000,2334.550049,2324.610352,3088712
2020-07-20,2334.550049,2343.300049,2300.600098,2330.949951,2321.025635,2816219
2020-07-21,2348.000000,2350.000000,2308.000000,2318.000000,2308.130859,3037810
2020-07-22,2330.000000,2330.000000,2241.250000,2248.500000,2238.926758,6950011
2020-07-23,2260.000000,2267.149902,2205.550049,2211.350098,2201.935059,3936886
2020-07-24,2200.000000,2220.000000,2168.050049,2209.300049,2199.893799,4203314
2020-07-27,2217.750000,2235.949951,2184.750000,2221.500000,2212.041748,2209409
2020-07-28,2230.949951,2244.899902,2211.050049,2242.550049,2233.002197,1567837
2020-07-29,2235.000000,2262.199951,2215.000000,2231.300049,2221.800049,2404978
2020-07-30,2231.300049,2238.050049,2190.100098,2195.600098,2195.600098,2044966
2020-07-31,2197.500000,2221.949951,2178.000000,2209.899902,2209.899902,1715659
2020-08-03,2209.800049,2223.050049,2188.550049,2204.500000,2204.500000,1683773
2020-08-04,2209.899902,2218.899902,2175.100098,2197.800049,2197.800049,1981720
2020-08-05,2202.000000,2209.899902,2181.050049,2194.550049,2194.550049,1715477
2020-08-06,2200.000000,2229.000000,2192.050049,2220.449951,2220.449951,1824483
2020-08-07,2223.000000,2234.800049,2205.000000,2210.550049,2210.550049,1777905
2020-08-10,2218.000000,2226.750000,2198.800049,2206.750000,2206.750000,1476289
2020-08-11,2209.050049,2233.000000,2206.000000,2210.649902,2210.649902,1665204
2020-08-12,2200.050049,2209.050049,2190.000000,2195.100098,2195.100098,1170430
2020-08-13,2200.000000,2217.000000,2190.949951,2198.649902,2198.649902,1453227
2020-08-14,2204.000000,2216.000000,2165.050049,2173.899902,2173.899902,1341664
2020-08-17,2181.000000,2203.649902,2168.399902,2196.050049,2196.050049,1559579
2020-08-18,2204.000000,2216.800049,2189.000000,2214.350098,2214.350098,1339001
2020-08-19,2206.000000,2221.500000,2190.000000,2193.600098,2193.600098,1585107
2020-08-20,2186.000000,2197.800049,2176.149902,2185.699951,2185.699951,1768939
2020-08-21,2199.000000,2208.699951,2187.449951,2202.050049,2202.050049,1374411
2020-08-24,2206.000000,2211.649902,2191.199951,2194.399902,2194.399902,1665474
2020-08-25,2194.399902,2197.899902,2175.000000,2179.100098,2179.100098,1774886
2020-08-26,2182.100098,2186.000000,2160.000000,2182.800049,2182.800049,2148146
2020-08-27,2182.100098,2188.000000,2165.000000,2171.250000,2171.250000,2172203
2020-08-28,2179.000000,2182.399902,2145.000000,2151.949951,2151.949951,1939520
2020-08-31,2152.000000,2167.500000,2100.649902,2117.350098,2117.350098,3534275
2020-09-01,2149.949951,2174.899902,2111.750000,2161.649902,2161.649902,1738003
2020-09-02,2171.000000,2185.000000,2136.550049,2141.649902,2141.649902,1667810
2020-09-03,2153.000000,2154.449951,2128.050049,2139.149902,2139.149902,1590711
2020-09-04,2115.000000,2140.899902,2114.000000,2124.649902,2124.649902,1590491
2020-09-07,2126.000000,2174.000000,2103.750000,2162.600098,2162.600098,2362992
2020-09-08,2154.000000,2171.350098,2131.149902,2142.250000,2142.250000,1804209
2020-09-09,2122.000000,2144.199951,2110.000000,2132.250000,2132.250000,2009898
2020-09-10,2142.000000,2143.600098,2118.199951,2133.899902,2133.899902,2137794
2020-09-11,2125.000000,2169.000000,2124.500000,2159.250000,2159.250000,1934110
2020-09-14,2167.000000,2169.699951,2115.000000,2123.500000,2123.500000,2096908
2020-09-15,2136.899902,2137.000000,2109.000000,2124.449951,2124.449951,1224058
2020-09-16,2125.000000,2158.949951,2112.699951,2143.500000,2143.500000,2087841
2020-09-17,2135.000000,2145.050049,2122.250000,2128.199951,2128.199951,1741644
2020-09-18,2120.000000,2127.550049,2090.000000,2098.699951,2098.699951,4475166
2020-09-21,2098.699951,2099.000000,2022.099976,2037.800049,2037.800049,3483963
2020-09-22,2040.550049,2054.750000,2000.050049,2026.800049,2026.800049,2345687
2020-09-23,2035.000000,2060.000000,2025.849976,2052.550049,2052.550049,2410295
2020-09-24,2044.000000,2081.000000,2035.050049,2060.899902,2060.899902,3798089
2020-09-25,2082.000000,2111.000000,2070.850098,2072.000000,2072.000000,2528928
