Date,Open,High,Low,Close,Adj Close,Volume
2020-06-26,1041.000000,1063.000000,1028.000000,1056.449951,1056.449951,19984569
2020-06-29,1037.000000,1082.599976,1037.000000,1076.050049,1076.050049,23002978
2020-06-30,1074.000000,1078.550049,1056.300049,1065.849976,1065.849976,17873065
2020-07-01,1065.849976,1096.000000,1061.300049,1084.599976,1084.599976,17423359
2020-07-02,1090.300049,1111.250000,1085.199951,1089.400024,1089.400024,18477248
2020-07-03,1093.000000,1095.800049,1070.000000,1073.949951,1073.949951,13798627
2020-07-06,1107.949951,1119.900024,1100.000000,1103.000000,1103.000000,17779108
2020-07-07,1109.400024,1111.699951,1093.050049,1105.150024,1105.150024,12174925
2020-07-08,1107.000000,1124.900024,1105.000000,1110.349976,1110.349976,15028175
2020-07-09,1118.000000,1129.699951,1107.250000,1124.949951,1124.949951,10057242
2020-07-10,1117.900024,1120.000000,1099.550049,1105.099976,1105.099976,8781489
2020-07-13,1109.900024,1113.000000,1071.300049,1080.250000,1080.250000,14961057
2020-07-14,1062.599976,1068.900024,1050.000000,1058.849976,1058.849976,13306337
2020-07-15,1070.199951,1079.000000,1050.099976,1053.150024,1053.150024,10487197
2020-07-16,1053.650024,1065.500000,1034.099976,1062.550049,1062.550049,11831228
2020-07-17,1059.050049,1104.000000,1058.300049,1098.449951,1098.449951,14202869
2020-07-20,1135.000000,1152.900024,1124.150024,1133.050049,1133.050049,32562048
2020-07-21,1152.050049,1157.949951,1134.000000,1138.550049,1138.550049,23756211
2020-07-22,1138.500000,1144.500000,1117.550049,1126.349976,1126.349976,12359006
2020-07-23,1125.000000,1143.900024,1116.250000,1130.400024,1130.400024,10074561
2020-07-24,1122.900024,1122.900024,1101.250000,1119.099976,1119.099976,9799220
2020-07-27,1099.849976,1103.000000,1075.349976,1079.500000,1079.500000,18985047
2020-07-28,1079.000000,1094.400024,1059.500000,1086.650024,1086.650024,17798225
2020-07-29,1081.000000,1088.500000,1055.550049,1064.599976,1064.599976,16796043
2020-07-30,1074.000000,1083.650024,1046.699951,1050.650024,1050.650024,13478133
2020-07-31,1057.699951,1057.699951,1020.049988,1032.800049,1032.800049,18863348
2020-08-03,1025.949951,1026.949951,993.000000,1002.000000,1002.000000,15891771
2020-08-04,1008.000000,1061.050049,1003.000000,1041.650024,1041.650024,30153084
2020-08-05,1047.949951,1055.800049,1020.000000,1027.550049,1027.550049,16610680
2020-08-06,1037.000000,1055.000000,1026.250000,1040.699951,1040.699951,16823444
2020-08-07,1034.849976,1047.199951,1020.599976,1043.849976,1043.849976,12418392
2020-08-10,1044.000000,1064.000000,1043.800049,1050.650024,1050.650024,11086427
2020-08-11,1048.500000,1071.000000,1048.500000,1066.650024,1066.650024,10068074
2020-08-12,1065.000000,1066.000000,1048.000000,1063.699951,1063.699951,10333216
2020-08-13,1067.949951,1071.349976,1056.500000,1059.050049,1059.050049,9946370
2020-08-14,1065.900024,1065.900024,1027.300049,1034.449951,1034.449951,10462256
2020-08-17,1047.000000,1047.000000,1020.200012,1032.750000,1032.750000,9780506
2020-08-18,1028.000000,1061.650024,1022.000000,1056.500000,1056.500000,12020412
2020-08-19,1065.000000,1069.800049,1056.250000,1066.599976,1066.599976,8857812
2020-08-20,1054.949951,1068.949951,1052.000000,1059.000000,1059.000000,9608367
2020-08-21,1065.400024,1088.800049,1064.599976,1085.650024,1085.650024,14462151
2020-08-24,1086.000000,1122.949951,1085.650024,1117.050049,1117.050049,18389870
2020-08-25,1119.000000,1127.000000,1106.199951,1119.699951,1119.699951,13800869
2020-08-26,1121.000000,1131.750000,1109.500000,1118.449951,1118.449951,12595031
2020-08-27,1125.800049,1129.900024,1106.250000,1112.099976,1112.099976,10322998
2020-08-28,1111.949951,1125.000000,1095.000000,1114.500000,1114.500000,19348305
2020-08-31,1129.500000,1148.800049,1100.699951,1115.849976,1115.849976,19250583
2020-09-01,1128.000000,1143.599976,1108.000000,1127.300049,1127.300049,14438942
2020-09-02,1124.099976,1139.000000,1120.699951,1134.150024,1134.150024,9880841
2020-09-03,1137.250000,1145.949951,1128.000000,1130.900024,1130.900024,9916681
2020-09-04,1110.000000,1125.400024,1104.400024,1119.300049,1119.300049,11830685
2020-09-07,1116.300049,1119.500000,1099.000000,1110.500000,1110.500000,8807733
2020-09-08,1114.000000,1118.800049,1103.000000,1112.449951,1112.449951,7312459
2020-09-09,1101.000000,1110.000000,1091.250000,1096.500000,1096.500000,7864436
2020-09-10,1103.000000,1104.849976,1084.000000,1090.550049,1090.550049,7594044
2020-09-11,1096.449951,1104.849976,1071.000000,1078.650024,1078.650024,10397365
2020-09-14,1088.000000,1094.000000,1052.349976,1057.949951,1057.949951,10825295
2020-09-15,1068.000000,1076.150024,1058.099976,1070.500000,1070.500000,8252555
2020-09-16,1070.199951,1096.000000,1068.349976,1093.650024,1093.650024,9355056
2020-09-17,1084.000000,1094.000000,1078.000000,1083.599976,1083.599976,9159343
2020-09-18,1092.000000,1092.199951,1047.199951,1057.300049,1057.300049,11740889
2020-09-21,1055.000000,1071.349976,1041.500000,1049.300049,1049.300049,9921439
2020-09-22,1054.050049,1058.150024,1029.500000,1035.400024,1035.400024,9310339
2020-09-23,1046.000000,1055.000000,1034.349976,1047.250000,1047.250000,8039914
2020-09-24,1038.000000,1047.000000,1025.000000,1030.400024,1030.400024,9904755
2020-09-25,1050.000000,1051.949951,1025.650024,1042.550049,1042.550049,10160775
